Subjects	Age	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
All	Older	1	amygdala	H1B2G1	0.259	249	-0.217	0.191	0.258063993208638	0.589860555905458
All	Younger	1	amygdala	H1B2G1	0.251	277	-0.052	0.193	0.785818062392585	0.841220215165525
Cases	Older	1	amygdala	H1B2G1	0.239	190	-0.321	0.235	0.173003145522655	0.480138818438877
Cases	Younger	1	amygdala	H1B2G1	0.213	174	0.387	0.265	0.146486662178452	0.480138818438877
All	Older	2	amygdala	H1B2G1	0.258	207	-0.323	0.215	0.133937351679446	0.428599525374227
All	Younger	2	amygdala	H1B2G1	0.25	240	-0.022	0.223	0.920052511625394	0.953450297239726
Cases	Older	2	amygdala	H1B2G1	0.244	168	-0.345	0.247	0.164726589878102	0.436005609759562
Cases	Younger	2	amygdala	H1B2G1	0.203	160	0.584	0.304	0.057289318649461	0.320266142238936
All	Older	3	amygdala	H1B2G1*footyrs	0.258	207	0.062	0.039	0.112807945700546	0.401396506994141
All	Younger	3	amygdala	H1B2G1*footyrs	0.25	240	0.112	0.046	0.0162934518590394	0.195521422308473
Cases	Older	3	amygdala	H1B2G1*footyrs	0.244	168	0.122	0.05	0.0158251566826135	0.195521422308473
Cases	Younger	3	amygdala	H1B2G1*footyrs	0.203	160	0.037	0.064	0.559311611149184	0.73921777947685
All	NA	4	amygdala	H1B2G1*stratum	0.255	526	-0.02	0.26	0.939322867596464	0.939322867596464
Cases	NA	4	amygdala	H1B2G1*stratum	0.227	364	-0.582	0.342	0.0897895464367759	0.650794468843755
All	Older	1	CA1	H1B2G1	0.259	249	-0.024	0.187	0.896645554751319	0.901991669538897
All	Younger	1	CA1	H1B2G1	0.251	277	0.079	0.192	0.679752502317548	0.834009902473248
Cases	Older	1	CA1	H1B2G1	0.239	190	0.063	0.225	0.779165376465447	0.841220215165525
Cases	Younger	1	CA1	H1B2G1	0.213	174	0.477	0.262	0.0708765628373809	0.480138818438877
All	Older	2	CA1	H1B2G1	0.258	207	-0.018	0.206	0.93147409353764	0.953450297239726
All	Younger	2	CA1	H1B2G1	0.25	240	0.099	0.218	0.649627950597725	0.861175236235014
Cases	Older	2	CA1	H1B2G1	0.244	168	0.064	0.238	0.786639518811075	0.922858375922006
Cases	Younger	2	CA1	H1B2G1	0.203	160	0.539	0.29	0.0651655905457278	0.320266142238936
