Subjects	Age	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
All	Older	1	amygdala	H1_gamma_dosage	1.064	226	-0.223	0.145	0.124604334445469	0.344269031522835
All	Younger	1	amygdala	H1_gamma_dosage	1.042	232	0.182	0.145	0.21205719700685	0.484702164587086
Cases	Older	1	amygdala	H1_gamma_dosage	1.035	173	-0.242	0.164	0.142269751781766	0.359418320290777
Cases	Younger	1	amygdala	H1_gamma_dosage	1.045	140	0.123	0.181	0.496411838359014	0.736428538791843
All	Older	2	amygdala	H1_gamma_dosage	1.05	192	-0.278	0.163	0.0899899805010731	0.434610590535234
All	Younger	2	amygdala	H1_gamma_dosage	1.052	200	0.138	0.163	0.400713321383029	0.686937122370907
Cases	Older	2	amygdala	H1_gamma_dosage	1.019	156	-0.218	0.177	0.219579666227766	0.585356724078208
Cases	Younger	2	amygdala	H1_gamma_dosage	1.044	127	0.232	0.197	0.24217130880721	0.585356724078208
All	Older	3	amygdala	H1_gamma_dosage*footyrs	1.05	192	0.043	0.03	0.15852806768325	0.770310507050536
All	Younger	3	amygdala	H1_gamma_dosage*footyrs	1.052	200	-0.012	0.035	0.736742197339593	0.930621722955275
Cases	Older	3	amygdala	H1_gamma_dosage*footyrs	1.019	156	-0.008	0.035	0.831323845663946	0.946433160403819
Cases	Younger	3	amygdala	H1_gamma_dosage*footyrs	1.044	127	-0.034	0.038	0.372162404576991	0.770310507050536
All	NA	4	amygdala	H1_gamma_dosage*stratum	1.082	537	-0.349	0.179	0.0521837052503644	0.194702330303635
Cases	NA	4	amygdala	H1_gamma_dosage*stratum	1.072	372	-0.158	0.214	0.461343136866466	0.527249299275961
All	Older	1	CA1	H1_gamma_dosage	1.064	226	-0.122	0.144	0.399123530062131	0.724993300558683
All	Younger	1	CA1	H1_gamma_dosage	1.042	232	-0.031	0.142	0.825960430367623	0.981155591851469
Cases	Older	1	CA1	H1_gamma_dosage	1.035	173	-0.134	0.164	0.416808559995551	0.724993300558683
Cases	Younger	1	CA1	H1_gamma_dosage	1.045	140	-0.159	0.174	0.362225151662485	0.72445030332497
All	Older	2	CA1	H1_gamma_dosage	1.05	192	-0.185	0.161	0.251558021618322	0.585356724078208
All	Younger	2	CA1	H1_gamma_dosage	1.052	200	-0.089	0.157	0.573367859671911	0.817506740484592
Cases	Older	2	CA1	H1_gamma_dosage	1.019	156	-0.153	0.177	0.389903350143645	0.686937122370907
