Subjects	Age	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
All	Older	1	amygdala	H1B1G1	0.405	222	0.309	0.196	0.117184834293197	0.29902609313839
All	Younger	1	amygdala	H1B1G1	0.369	225	0.531	0.21	0.0122544309474457	0.147053171369348
Cases	Older	1	amygdala	H1B1G1	0.411	169	0.139	0.234	0.553836859340838	0.618236494147912
Cases	Younger	1	amygdala	H1B1G1	0.408	136	0.446	0.265	0.0951855409317113	0.29902609313839
All	Older	2	amygdala	H1B1G1	0.418	188	0.372	0.216	0.0868948201546025	0.245037578376074
All	Younger	2	amygdala	H1B1G1	0.372	195	0.506	0.23	0.0287981644046302	0.190489757319324
Cases	Older	2	amygdala	H1B1G1	0.421	152	0.124	0.246	0.615252711121521	0.716509888370381
Cases	Younger	2	amygdala	H1B1G1	0.411	124	0.418	0.278	0.135866021346303	0.283546479331415
All	Older	3	amygdala	H1B1G1*footyrs	0.418	188	0.024	0.043	0.572987803207727	0.981826483601454
All	Younger	3	amygdala	H1B1G1*footyrs	0.372	195	-0.008	0.047	0.869846849250973	0.981826483601454
Cases	Older	3	amygdala	H1B1G1*footyrs	0.421	152	0.059	0.052	0.262960485973644	0.788881457920932
Cases	Younger	3	amygdala	H1B1G1*footyrs	0.411	124	0.001	0.058	0.989028710793838	0.997683598403525
All	NA	4	amygdala	H1B1G1*stratum	0.415	526	-0.223	0.243	0.358053888708372	0.773755770793464
Cases	NA	4	amygdala	H1B1G1*stratum	0.441	364	-0.258	0.299	0.389351758663453	0.773755770793464
All	Older	1	CA1	H1B1G1	0.405	222	0.217	0.194	0.264716345488831	0.385041957074663
All	Younger	1	CA1	H1B1G1	0.369	225	0.315	0.207	0.130547671017078	0.29902609313839
Cases	Older	1	CA1	H1B1G1	0.411	169	0.071	0.228	0.75522423667289	0.788060073049972
Cases	Younger	1	CA1	H1B1G1	0.408	136	0.236	0.261	0.366160202349978	0.471331825560547
All	Older	2	CA1	H1B1G1	0.418	188	0.242	0.21	0.2504089386031	0.414469967343062
All	Younger	2	CA1	H1B1G1	0.372	195	0.283	0.224	0.20751317245907	0.355736867072691
Cases	Older	2	CA1	H1B1G1	0.421	152	0.068	0.24	0.775488725133562	0.791988485242787
Cases	Younger	2	CA1	H1B1G1	0.411	124	0.226	0.269	0.403952372881101	0.570285702890966
All	Older	3	CA1	H1B1G1*footyrs	0.418	188	0.009	0.04	0.828403405752251	0.981826483601454
All	Younger	3	CA1	H1B1G1*footyrs	0.372	195	0	0.047	0.997683598403525	0.997683598403525
Cases	Older	3	CA1	H1B1G1*footyrs	0.421	152	0.019	0.05	0.703525599772878	0.981826483601454
Cases	Younger	3	CA1	H1B1G1*footyrs	0.411	124	0.025	0.056	0.652184117699752	0.981826483601454
All	NA	4	CA1	H1B1G1*stratum	0.415	526	-0.15	0.243	0.536704960736484	0.805057441104726
Cases	NA	4	CA1	H1B1G1*stratum	0.441	364	-0.002	0.298	0.995022174909403	0.995022174909403
All	Older	1	CA2	H1B1G1	0.405	222	0.251	0.194	0.198243807363297	0.316544246576371
All	Younger	1	CA2	H1B1G1	0.369	225	0.281	0.221	0.205430675478375	0.316544246576371
Cases	Older	1	CA2	H1B1G1	0.411	169	0.205	0.23	0.373137695235433	0.471331825560547
Cases	Younger	1	CA2	H1B1G1	0.408	136	0.494	0.273	0.0724683720200472	0.291995108529733
All	Older	2	CA2	H1B1G1	0.418	188	0.14	0.212	0.509875839633368	0.661460548713559
All	Younger	2	CA2	H1B1G1	0.372	195	0.389	0.242	0.10986322806304	0.249380601912205
Cases	Older	2	CA2	H1B1G1	0.421	152	0.095	0.242	0.695047589507447	0.769450658988608
Cases	Younger	2	CA2	H1B1G1	0.411	124	0.464	0.284	0.106138251903709	0.249380601912205
All	Older	3	CA2	H1B1G1*footyrs	0.418	188	0.003	0.042	0.940917046784727	0.981826483601454
All	Younger	3	CA2	H1B1G1*footyrs	0.372	195	-0.057	0.054	0.292465682336942	0.807125706651125
Cases	Older	3	CA2	H1B1G1*footyrs	0.421	152	0.006	0.052	0.911698128725784	0.981826483601454
Cases	Younger	3	CA2	H1B1G1*footyrs	0.411	124	-0.056	0.062	0.371757021398373	0.892216851356095
All	NA	4	CA2	H1B1G1*stratum	0.415	526	-0.036	0.242	0.882042939314367	0.995022174909403
