MarkerName	Allele1	Allele2	Freq1	FreqSE	Effect	StdErr	P-value	Direction	HetISq	HetChiSq	HetDf	HetPVal	N
suptemp	a	t	0.3569	0.0172	0.0246	0.1426	0.8632	-+	65.6	2.904	1	0.08839	458
subnigra	a	t	0.3569	0.0172	-0.0436	0.1411	0.7572	-+	86.9	7.632	1	0.005734	458
CTE	a	t	0.3514	0.0133	-0.1120	0.1786	0.5307	--	51.6	2.066	1	0.1506	458
amygdala	a	t	0.3569	0.0172	0.2257	0.1454	0.1205	++	0.0	0.430	1	0.5121	458
inforbfront	a	t	0.3572	0.0173	0.1078	0.1428	0.4501	-+	74.9	3.983	1	0.04596	458
infpar	a	t	0.3574	0.0174	0.0126	0.1430	0.9296	-+	60.1	2.506	1	0.1134	458
midfront	a	t	0.3572	0.0173	0.0061	0.1419	0.9656	-+	0.0	0.737	1	0.3905	458
DementiaHx	a	t	0.3580	0.0169	0.3999	0.2139	0.06157	++	0.0	0.015	1	0.9032	440
CTEstage	a	t	0.3577	0.0175	-0.0714	0.1424	0.6158	-+	61.9	2.624	1	0.1053	457
loccoer	a	t	0.3570	0.0172	0.0404	0.1442	0.779	-+	18.0	1.219	1	0.2696	458
AT8PositiveTissue.log	a	t	0.3602	0.0184	-0.0011	0.1684	0.9947	-+	0.0	0.029	1	0.8653	458
CA1	a	t	0.3566	0.0170	0.0132	0.1435	0.9268	-+	42.7	1.745	1	0.1865	458
CA2	a	t	0.3576	0.0175	0.1034	0.1449	0.4756	-+	74.8	3.962	1	0.04655	458
CA4	a	t	0.3584	0.0178	0.2448	0.1454	0.09226	-+	62.2	2.647	1	0.1038	458
entorhinal	a	t	0.3561	0.0168	0.1698	0.1466	0.2469	-+	62.3	2.650	1	0.1036	458
