Batch	Phenotype	Predictor	N	Effect	SE	P.value
I	amygdala	H1_dosage	123	0.864607470700656	0.337732564130383	0.0120117009292111
II	amygdala	H1_dosage	190	-0.178491851669606	0.293787001422365	0.544279097378977
I	CA1	H1_dosage	123	0.368297334897094	0.350442356267406	0.29616297838717
II	CA1	H1_dosage	190	0.0929878482312027	0.28090314494692	0.74102778768535
I	CA2	H1_dosage	123	0.486260697164009	0.34033464759837	0.156693943242155
II	CA2	H1_dosage	190	0.458421058830812	0.273583337634276	0.0956561730177103
I	CA4	H1_dosage	123	0.864502297386649	0.347308419145128	0.0147005503296973
II	CA4	H1_dosage	190	0.469820486495279	0.287512394187125	0.104061720567393
I	entorhinal	H1_dosage	123	0.273144420690528	0.361917290496729	0.45229443181099
II	entorhinal	H1_dosage	190	0.114936455416672	0.301462880974975	0.703476666376328
I	inforbfront	H1_dosage	123	0.454372124085507	0.333022665304738	0.175522978159277
II	inforbfront	H1_dosage	190	-0.109784928363097	0.282617504603237	0.6981550573344
I	infpar	H1_dosage	123	0.389837250885429	0.334372354490743	0.246765679141072
II	infpar	H1_dosage	190	-0.00519744945048891	0.280118825074884	0.985218151576902
I	loccoer	H1_dosage	123	0.0644677229666677	0.356391064250597	0.856881896157869
II	loccoer	H1_dosage	190	0.217801673226596	0.297672358570567	0.465660881815658
I	midfront	H1_dosage	123	0.453968349832202	0.341222246316775	0.186636140117198
II	midfront	H1_dosage	190	-0.242931164319561	0.292200870854406	0.406902577924223
I	suptemp	H1_dosage	123	0.653959731569626	0.360795890937969	0.0731383476972907
II	suptemp	H1_dosage	190	-0.353137561216016	0.291353376471531	0.227142704634509
I	CTEstage	H1_dosage	123	0.0574085459819397	0.33463888385225	0.864118443700954
II	CTEstage	H1_dosage	189	0.0836759139638441	0.303108321362209	0.782835724973499
I	subnigra	H1_dosage	123	0.436716625388781	0.336336971468572	0.197557360585473
II	subnigra	H1_dosage	190	0.375874977281509	0.279050299226919	0.179771521394092
