Batch	Phenotype	Predictor	N	Effect	SE	P.value
I	amygdala	H1_dosage	82	-0.43603589693415	0.514665393264818	0.400317264754579
II	amygdala	H1_dosage	165	-0.367128589295587	0.324848012168117	0.260255075925577
I	CA1	H1_dosage	82	-0.792132048183061	0.551212545747726	0.157362628634195
II	CA1	H1_dosage	165	-0.144794439724125	0.316004421448962	0.64749191540982
I	CA2	H1_dosage	82	-0.322950257824067	0.49082356745918	0.51359188362819
II	CA2	H1_dosage	165	-0.0723610402920647	0.310938118601803	0.816314517720394
I	CA4	H1_dosage	82	0.00763197991195391	0.48058297492236	0.987384825048456
II	CA4	H1_dosage	165	-0.168811777502302	0.313275324790176	0.590795994706918
I	entorhinal	H1_dosage	82	-1.23580864591151	0.651959087725287	0.0631445698043307
II	entorhinal	H1_dosage	165	-0.295962510281584	0.326670435225905	0.366409691427974
I	inforbfront	H1_dosage	82	-0.632337982540506	0.522796261218939	0.231792619197969
II	inforbfront	H1_dosage	165	-0.378626029285531	0.306994753753606	0.219407339322184
I	infpar	H1_dosage	82	-0.360717423698697	0.567729532871357	0.52854903916503
II	infpar	H1_dosage	165	-0.294078642451123	0.302218636139398	0.332126884502403
I	loccoer	H1_dosage	82	-0.467686886076504	0.503281775576679	0.357182999238182
II	loccoer	H1_dosage	165	0.347818767925765	0.337929131340863	0.306083724959076
I	midfront	H1_dosage	82	-0.530317939597217	0.522132708120132	0.3142495254707
II	midfront	H1_dosage	165	-0.39809408695805	0.313098937055846	0.20555774249909
I	suptemp	H1_dosage	82	-0.50622037299192	0.536125354116008	0.349506174947862
II	suptemp	H1_dosage	165	-0.441290173741748	0.332408945648607	0.18636987486227
I	CTEstage	H1_dosage	82	-1.24853807794303	0.575532236928488	0.033771064612325
II	CTEstage	H1_dosage	165	-0.761573801768437	0.325824423383016	0.0207686142880612
I	subnigra	H1_dosage	82	-0.112999186932379	0.50403228939374	0.82370246979364
II	subnigra	H1_dosage	165	-0.103858175188652	0.299588176104611	0.729336494296238
