Batch	Phenotype	Predictor	N	Effect	SE	P.value
I	amygdala	H1_dosage:footyrs	134	0.0466860765893657	0.0704867766278588	0.509088305133033
II	amygdala	H1_dosage:footyrs	258	0.0677132058918594	0.0518817309102832	0.193104188245796
I	CA1	H1_dosage:footyrs	134	-0.000143918712932578	0.0665084526362371	0.998277257576747
II	CA1	H1_dosage:footyrs	258	0.0377608248918845	0.0503826921210895	0.454326953900393
I	CA2	H1_dosage:footyrs	134	-0.100450422182489	0.0802648151081179	0.214628206124271
II	CA2	H1_dosage:footyrs	258	0.026806084760302	0.0512789683959777	0.601661345253629
I	CA4	H1_dosage:footyrs	134	-0.0491880015842779	0.0729197299333123	0.501329974335206
II	CA4	H1_dosage:footyrs	258	0.131774348818212	0.0529573419900833	0.0135316562436167
I	entorhinal	H1_dosage:footyrs	134	0.011990371234081	0.0740653741560938	0.871681746137262
II	entorhinal	H1_dosage:footyrs	258	0.0780416699587205	0.0549594454151091	0.156950131602168
I	inforbfront	H1_dosage:footyrs	134	0.05251501408985	0.0650100090841939	0.421144284496867
II	inforbfront	H1_dosage:footyrs	258	0.0775393211516855	0.0505295253603104	0.126222527794645
I	infpar	H1_dosage:footyrs	134	0.0566643028221064	0.0651567344214128	0.386352887159539
II	infpar	H1_dosage:footyrs	258	0.0625372866574636	0.0497110266963293	0.209617796443374
I	loccoer	H1_dosage:footyrs	134	-0.0471677637578186	0.0736550916171392	0.523212470536077
II	loccoer	H1_dosage:footyrs	258	0.0252833336425933	0.0553537950144996	0.648793338655
I	midfront	H1_dosage:footyrs	134	0.0139849222694927	0.0708558255179455	0.843893114813171
II	midfront	H1_dosage:footyrs	258	0.0544059772490863	0.0520291914626169	0.296764398523438
I	suptemp	H1_dosage:footyrs	134	0.0348251975294898	0.0716586434892373	0.627926743212824
II	suptemp	H1_dosage:footyrs	258	0.0761476309981137	0.0499671061011653	0.128848806354609
I	CTEstage	H1_dosage:footyrs	134	-0.0180606554503059	0.0687348705054494	0.793211013513909
II	CTEstage	H1_dosage:footyrs	258	0.0670561130848033	0.0569896381228817	0.240515918238825
I	subnigra	H1_dosage:footyrs	134	-0.0126161206782082	0.0680385771456	0.853229401901161
II	subnigra	H1_dosage:footyrs	258	0.0991742003275513	0.05183901500216	0.0569443929176916
