Batch	Phenotype	Predictor	N	Effect	SE	P.value
I	amygdala	H1_dosage	146	0.47670455295523	0.309003012712566	0.12549469410092
I	amygdala	H1_dosage	312	0.155702437745695	0.229567154589482	0.498149854954028
I	CA1	H1_dosage	146	0.139087399590191	0.327097563007875	0.671525550575752
I	CA1	H1_dosage	312	0.253060213153411	0.225837725732298	0.263412519229094
I	CA2	H1_dosage	146	0.342949359868416	0.334464160828284	0.307922575549419
I	CA2	H1_dosage	312	0.370430227602254	0.225077033972709	0.100941655646085
I	CA4	H1_dosage	146	0.606731430221665	0.325875889704519	0.0652165880050333
I	CA4	H1_dosage	312	0.353206362232614	0.230336256928861	0.126255891898211
I	entorhinal	H1_dosage	146	0.000376262521017288	0.345640609283796	0.999133429311214
I	entorhinal	H1_dosage	312	0.24567174667868	0.228354547108734	0.282883086119593
I	inforbfront	H1_dosage	146	0.096301048270252	0.312856230707653	0.758769393923173
I	inforbfront	H1_dosage	312	0.0334962424963907	0.221563384847253	0.879936078435591
I	infpar	H1_dosage	146	0.149149226465035	0.311358739422801	0.632845832917677
I	infpar	H1_dosage	312	0.168381154117919	0.222466748068698	0.449727472870705
I	loccoer	H1_dosage	146	-0.0443541166405087	0.32711803714321	0.892392216298235
I	loccoer	H1_dosage	312	0.340660316847854	0.234367618001656	0.14786773668055
I	midfront	H1_dosage	146	0.0979136577552213	0.312968666254382	0.754940471322707
I	midfront	H1_dosage	312	-0.0523653485646933	0.220274211286048	0.812257092430422
I	suptemp	H1_dosage	146	0.343960912963098	0.329102244716405	0.298080060065235
I	suptemp	H1_dosage	312	-0.0458664381661799	0.224648704368378	0.83836185120615
I	CTEstage	H1_dosage	146	-0.275600361472821	0.306316706953244	0.369956497656506
I	CTEstage	H1_dosage	311	-0.185701550664799	0.222001385050758	0.403561988627329
I	subnigra	H1_dosage	146	0.114371927448059	0.314035956167494	0.716407538707639
I	subnigra	H1_dosage	312	0.293716818629048	0.223647430159209	0.190111078256227
