ID	Race
K-0860	White
K-0882	Black
K-0872	White
K-0900	White
K-0861	White
K-0883	White
K-0875	White
K-0901	White
K-0865	White
K-0887	White
K-0876	White
K-0903	White
K-0866	Unknown
K-0890	White
K-0877	White
K-0930	White
K-0867	White
K-0892	White
K-0879	White
K-0931	White
K-0870	White
K-0899	White
K-0880	Other
K-0933	White
K-0941	White
K-0973	White
K-0954	White
K-0982	White
K-0943	White
K-0974	White
K-0960	White
K-0984	White
K-0944	White
K-0978	White
K-0962	White
K-0987	White
K-0947	White
K-0979	White
K-0965	Black
K-0988	White
K-0950	White
K-0980	White
K-0966	White
K-0992	White
K-0953	Unknown
K-0981	White
K-0972	White
K-1121	White
K-1161	White
K-1147	White
K-1182	White
K-1122	White
K-1162	White
K-1148	White
K-1183	White
K-1137	White
K-1166	White
K-1149	White
K-1184	White
K-1143	White
K-1171	White
K-1150	Black
K-1185	Black
K-1144	White
K-1174	White
K-1153	White
K-1188	White
K-1146	White
K-1175	White
K-1154	White
K-1190	White
K-1195	White
SLI-011	Missing
K-1208	White
SLI-114	White
K-1198	White
SLI-013	Missing
K-1217	White
SLI-116	Unknown
K-1199	White
SLI-089	Missing
K-1218	White
SLI-132	White
K-1200	White
SLI-092	Missing
K-1219	White
K-1203	White
SLI-096	Missing
K-1220	Missing
K-1207	White
SLI-111	White
K-1221	White
K-1058	White
K-1084	White
K-1071	White
K-1099	Black
K-1059	White
K-1085	Black
K-1075	White
K-1100	White
K-1063	White
K-1087	White
K-1077	White
K-1106	Black
K-1067	White
K-1089	White
K-1078	White
K-1107	White
K-1068	White
K-1090	White
K-1079	White
K-1108	Black
K-1070	White
K-1095	White
K-1082	White
K-1118	White
K-0996	White
K-1022	White
K-1009	Black
K-1044	White
K-0997	White
K-1025	Other
K-1010	Missing
K-1045	White
K-0998	Unknown
K-1026	Missing
K-1012	Unknown
K-1046	White
K-0999	White
K-1027	White
K-1014	Missing
K-1047	White
K-1000	White
K-1029	White
K-1017	White
K-1049	White
K-1008	Unknown
K-1031	White
K-1019	White
K-1053	White
K-0480	White
SLI-207	White
K-0505	White
K-0993	White
K-1211	White
SLI-054	Missing
K-0349	White
K-0370	White
K-0362	White
K-0385	Unknown
K-0350	Black
K-0375	White
K-0364	White
K-0389	White
K-0352	White
K-0377	White
K-0365	White
K-0393	White
K-0353	White
K-0378	White
K-0366	White
K-0397	White
K-0356	Other
K-0379	White
K-0367	White
K-0402	White
K-0357	White
K-0380	Unknown
K-0368	White
K-0406	White
K-0293	White
K-0315	White
K-0306	White
K-0331	White
K-0301	Other
K-0316	White
K-0307	White
K-0334	White
K-0302	White
K-0322	White
K-0309	White
K-0335	White
K-0303	White
K-0327	Black
K-0310	White
K-0340	White
K-0304	Other
K-0328	Missing
K-0312	White
K-0341	White
K-0305	Unknown
K-0330	White
K-0314	White
K-0348	White
K-0818	Other
K-0843	White
K-0828	Black
K-0851	White
K-0819	White
K-0844	White
K-0833	White
K-0852	White
K-0820	White
K-0845	White
K-0836	White
K-0853	White
K-0821	White
K-0846	White
K-0837	White
K-0855	Black
K-0825	White
K-0847	White
K-0838	White
K-0856	White
K-0826	White
K-0850	White
K-0839	White
K-0857	White
K-0565	White
K-0587	Black
K-0576	White
K-0602	Black
K-0567	White
K-0589	White
K-0577	White
K-0604	White
K-0569	White
K-0591	White
K-0578	White
K-0606	White
K-0570	White
K-0593	White
K-0579	White
K-0607	White
K-0571	White
K-0594	White
K-0580	White
K-0610	Black
K-0572	White
K-0601	White
K-0582	Black
K-0611	Black
K-0725	White
K-0243	Missing
K-0211	White
K-0274	Black
K-0748	White
K-0245	Black
K-0213	Black
K-0282	White
K-0757	White
K-0249	White
K-0220	White
K-0284	White
K-0254	White
K-0229	White
K-0290	White
K-0256	White
K-0236	Unknown
K-0291	White
K-0210	White
K-0267	White
K-0240	White
K-0292	White
K-0408	Black
K-0460	White
K-0441	White
K-0483	White
K-0419	White
K-0461	White
K-0443	White
k-0487	White
K-0429	White
K-0464	White
K-0444	White
K-0488	White
K-0431	White
K-0467	White
K-0454	Missing
K-0489	White
K-0432	White
K-0477	Black
K-0458	White
K-0491	Other
K-0437	White
K-0481	White
K-0459	White
K-0493	Other
K-0455	Black
K-0204	White
K-0545	White
K-0531	White
k-0554	White
K-0241	White
K-0547	White
K-0532	White
K-0558	Black
K-0548	White
K-0536	White
K-0559	White
K-0513	White
K-0551	White
K-0540	White
K-0560	White
K-0522	White
K-0552	White
K-0541	White
K-0561	White
K-0523	White
K-0553	White
K-0543	White
K-0562	White
K-0758	White
K-0796	White
K-0774	Black
K-0759	White
K-0799	White
K-0775	White
K-0812	White
K-0763	White
K-0802	White
K-0778	White
K-0813	White
K-0769	White
K-0803	White
K-0780	White
K-0814	White
K-0772	Black
K-0805	White
K-0794	White
K-0815	White
K-0773	Black
K-0806	White
K-0795	White
K-0817	White
K-0695	White
K-0735	White
K-0706	White
K-0750	White
K-0696	White
K-0739	White
K-0708	White
K-0752	Unknown
K-0698	White
K-0742	White
K-0711	White
K-0753	Unknown
K-0699	White
K-0743	White
K-0712	White
K-0754	White
K-0700	Black
K-0746	White
K-0726	White
K-0755	White
K-0703	White
K-0749	White
K-0729	White
K-0756	White
K-0615	White
K-0665	Other
K-0626	White
K-0673	White
K-0617	White
K-0666	White
K-0628	Other
K-0683	White
K-0620	White
K-0669	White
