Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR	Perm_P
All	1	CTE	H1B1G2	0.106	447	-0.067	0.243	0.781548413561101	0.937858096273321	1
All	1	DementiaHx	H1B1G2	0.103	430	0.022	0.295	0.940879464934585	0.985033879849898	1
All	1	amygdala	H1B1G2	0.106	447	-0.132	0.206	0.519833130187725	0.927962703695014	0.999
All	1	CA1	H1B1G2	0.106	447	-0.053	0.199	0.790726339880002	0.992193141836097	1
All	1	CA2	H1B1G2	0.106	447	-0.026	0.201	0.897684176175187	0.992193141836097	1
All	1	CA4	H1B1G2	0.106	447	0.182	0.202	0.36779704781477	0.812782485459509	0.977
All	1	entorhinal	H1B1G2	0.106	447	-0.127	0.207	0.537806454122278	0.927962703695014	0.999
All	1	inforbfront	H1B1G2	0.106	447	-0.004	0.206	0.984217239917931	0.992193141836097	1
All	1	infpar	H1B1G2	0.106	447	-0.072	0.203	0.721937485120825	0.992193141836097	1
All	1	loccoer	H1B1G2	0.106	447	0.128	0.204	0.530273077770096	0.927962703695014	0.999
All	1	midfront	H1B1G2	0.106	447	-0.092	0.2	0.646664131950367	0.992193141836097	1
All	1	suptemp	H1B1G2	0.106	447	-0.195	0.202	0.335173302346208	0.812782485459509	0.962
All	1	CTEstage	H1B1G2	0.105	446	-0.203	0.203	0.317337498578881	0.585853843530242	0.951
All	1	subnigra	H1B1G2	0.106	447	0.013	0.202	0.950100495426798	0.992193141836097	1
