Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR	Perm_P
All	1	CTE	H1B3G1	0.006	447	-0.61	1.062	0.566245983098854	0.770086423153835	0.997
All	1	DementiaHx	H1B3G1	0.006	430	-1.533	1.072	0.153383094979719	0.368119427951326	0.639
All	1	amygdala	H1B3G1	0.006	447	-1.157	0.805	0.151572950886316	0.494015543629474	0.633
All	1	CA1	H1B3G1	0.006	447	-1.173	0.84	0.163117789066891	0.512655908495943	0.669
All	1	CA2	H1B3G1	0.006	447	-0.497	0.828	0.548341597637963	0.927962703695014	0.997
All	1	CA4	H1B3G1	0.006	447	-1.504	0.988	0.128682210114428	0.471834770419569	0.559
All	1	entorhinal	H1B3G1	0.006	447	-0.922	0.802	0.251287231467609	0.713331495779019	0.862
All	1	inforbfront	H1B3G1	0.006	447	-1.863	0.918	0.0429877108274264	0.220753533859396	0.181
All	1	infpar	H1B3G1	0.006	447	-1.387	0.939	0.140567885767528	0.494015543629474	0.596
All	1	loccoer	H1B3G1	0.006	447	-2.202	0.949	0.0207931819497635	0.160340559580207	0.063
All	1	midfront	H1B3G1	0.006	447	-2.274	0.903	0.0121937426967524	0.119227706368246	0.029
All	1	suptemp	H1B3G1	0.006	447	0.159	0.831	0.848059778769669	0.992193141836097	1
All	1	CTEstage	H1B3G1	0.006	446	-0.03	0.856	0.971837514541953	0.985033879849898	1
All	1	subnigra	H1B3G1	0.006	447	-0.79	0.852	0.354414849283266	0.812782485459509	0.953
