Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR	Perm_P
All	1	CTE	H1B1G1	0.387	447	0.272	0.169	0.108270187954521	0.289848052831045	0.573
All	1	DementiaHx	H1B1G1	0.392	430	0.643	0.208	0.00211961315097797	0.0254353578117356	0.019
All	1	amygdala	H1B1G1	0.387	447	0.425	0.14	0.00260149391173536	0.0742491618654899	0.025
All	1	CA1	H1B1G1	0.387	447	0.245	0.138	0.0764214567026071	0.320242294753782	0.442
All	1	CA2	H1B1G1	0.387	447	0.282	0.139	0.0430471690973113	0.220753533859396	0.286
All	1	CA4	H1B1G1	0.387	447	0.3	0.139	0.0314429563736027	0.212844627759772	0.217
All	1	entorhinal	H1B1G1	0.387	447	0.404	0.144	0.00517983800652688	0.0742491618654899	0.047
All	1	inforbfront	H1B1G1	0.387	447	0.378	0.137	0.00590618333020942	0.0742491618654899	0.053
All	1	infpar	H1B1G1	0.387	447	0.414	0.141	0.00349448824771637	0.0742491618654899	0.039
All	1	loccoer	H1B1G1	0.387	447	0.127	0.14	0.362771453199967	0.812782485459509	0.984
All	1	midfront	H1B1G1	0.387	447	0.392	0.138	0.00478332449701746	0.0742491618654899	0.045
All	1	suptemp	H1B1G1	0.387	447	0.514	0.141	0.000289187438165195	0.0254484945585372	0.002
All	1	CTEstage	H1B1G1	0.387	446	0.302	0.136	0.0268354648300655	0.161012788980393	0.191
All	1	subnigra	H1B1G1	0.387	447	0.31	0.134	0.0213205856835121	0.160340559580207	0.158
