Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR	Perm_P
All	1	CTE	H2A2G2	0.04	447	-0.277	0.39	0.478162213616492	0.765059541786387	0.993
All	1	DementiaHx	H2A2G2	0.042	430	-0.266	0.434	0.540053754012815	0.770086423153835	0.999
All	1	amygdala	H2A2G2	0.04	447	0.176	0.331	0.595087225377334	0.969771774688989	1
All	1	CA1	H2A2G2	0.04	447	0.128	0.317	0.687028087411072	0.992193141836097	1
All	1	CA2	H2A2G2	0.04	447	-0.27	0.329	0.413694402420707	0.866788271738624	0.983
All	1	CA4	H2A2G2	0.04	447	-0.185	0.324	0.568618519011916	0.944121314585823	0.999
All	1	entorhinal	H2A2G2	0.04	447	-0.113	0.335	0.735473997385562	0.992193141836097	1
All	1	inforbfront	H2A2G2	0.04	447	0.015	0.314	0.962495537589552	0.992193141836097	1
All	1	infpar	H2A2G2	0.04	447	-0.329	0.314	0.296018577400218	0.812253462772051	0.926
All	1	loccoer	H2A2G2	0.04	447	0.122	0.338	0.717800293036436	0.992193141836097	1
All	1	midfront	H2A2G2	0.04	447	-0.122	0.31	0.693591301995002	0.992193141836097	1
All	1	suptemp	H2A2G2	0.04	447	-0.283	0.315	0.369446584299777	0.812782485459509	0.973
All	1	CTEstage	H2A2G2	0.04	446	-0.183	0.328	0.577564817365376	0.770086423153835	1
All	1	subnigra	H2A2G2	0.04	447	0.232	0.332	0.484398495893947	0.927962703695014	0.993
