N	Effect	SE	P.value	N	Effect	SE	P.value	N	Effect	StdErr	P.value
134	0.8884	0.3585	0.0148	258	-0.0875	0.2633	0.7399	392	0.2545	0.2122	0.2304
134	0.3206	0.3572	0.3717	258	0.1637	0.2567	0.5244	392	0.2171	0.2084	0.2977
134	0.593	0.3477	0.0914	258	0.2942	0.2617	0.2622	392	0.4023	0.2091	0.0544
134	0.9739	0.3598	0.008	258	0.1588	0.2719	0.5598	392	0.4551	0.217	0.036
134	0.3386	0.3747	0.3682	258	0.2137	0.2687	0.4273	392	0.2561	0.2184	0.2408
134	0.1366	0.3363	0.6854	258	-0.1162	0.2563	0.6506	392	-0.0233	0.2038	0.9088
134	0.4172	0.3465	0.2316	258	0.0513	0.2557	0.8412	392	0.1803	0.2058	0.3809
134	0.0263	0.3444	0.9393	258	0.076	0.2645	0.7741	392	0.0576	0.2098	0.7837
134	0.2242	0.3435	0.5153	258	-0.2932	0.2558	0.2528	392	-0.1086	0.2051	0.5965
134	0.4952	0.3711	0.1849	258	-0.2618	0.2567	0.3088	392	-0.0169	0.2111	0.9363
134	-0.0669	0.3302	0.8399	258	-0.4461	0.2617	0.0896	392	-0.2997	0.2051	0.1439
134	0.2082	0.3321	0.5321	258	0.0535	0.2589	0.8364	392	0.112	0.2042	0.5833
