N	Effect	SE	P.value	N	Effect	SE	P.value	N	Effect	StdErr	P.value
82	-0.436	0.5147	0.4003	165	-0.3671	0.3248	0.2603	247	-0.3868	0.2747	0.1592
82	-0.7921	0.5512	0.1574	165	-0.1448	0.316	0.6475	247	-0.3049	0.2741	0.266
82	-0.323	0.4908	0.5136	165	-0.0724	0.3109	0.8163	247	-0.1441	0.2627	0.5832
82	0.0076	0.4806	0.9874	165	-0.1688	0.3133	0.5908	247	-0.1162	0.2624	0.6579
82	-1.2358	0.652	0.0631	165	-0.296	0.3267	0.3664	247	-0.4846	0.2921	0.0971
82	-0.6323	0.5228	0.2318	165	-0.3786	0.307	0.2194	247	-0.4437	0.2647	0.0937
82	-0.3607	0.5677	0.5285	165	-0.2941	0.3022	0.3321	247	-0.3088	0.2668	0.2471
82	-0.4677	0.5033	0.3572	165	0.3478	0.3379	0.3061	247	0.0944	0.2806	0.7365
82	-0.5303	0.5221	0.3142	165	-0.3981	0.3131	0.2056	247	-0.4331	0.2685	0.1068
82	-0.5062	0.5361	0.3495	165	-0.4413	0.3324	0.1864	247	-0.4593	0.2825	0.104
82	-1.2485	0.5755	0.0338	165	-0.7616	0.3258	0.0208	247	-0.8798	0.2835	0.0019
82	-0.113	0.504	0.8237	165	-0.1039	0.2996	0.7293	247	-0.1062	0.2575	0.6799
