N	Effect	SE	P.value	N	Effect	SE	P.value	N	Effect	StdErr	P.value
134	0.0467	0.0705	0.5091	258	0.0677	0.0519	0.1931	392	0.0603	0.0418	0.1488
134	-1e-04	0.0665	0.9983	258	0.0378	0.0504	0.4543	392	0.0239	0.0402	0.5511
134	-0.1005	0.0803	0.2146	258	0.0268	0.0513	0.6017	392	-0.0101	0.0432	0.8156
134	-0.0492	0.0729	0.5013	258	0.1318	0.053	0.0135	392	0.0693	0.0428	0.1059
134	0.012	0.0741	0.8717	258	0.078	0.055	0.157	392	0.0546	0.0441	0.2162
134	0.0525	0.065	0.4211	258	0.0775	0.0505	0.1262	392	0.0681	0.0399	0.0878
134	0.0567	0.0652	0.3864	258	0.0625	0.0497	0.2096	392	0.0604	0.0395	0.1266
134	-0.0472	0.0737	0.5232	258	0.0253	0.0554	0.6488	392	-9e-04	0.0443	0.9844
134	0.014	0.0709	0.8439	258	0.0544	0.052	0.2968	392	0.0402	0.0419	0.3372
134	0.0348	0.0717	0.6279	258	0.0761	0.05	0.1288	392	0.0626	0.041	0.1265
134	-0.0181	0.0687	0.7932	258	0.0671	0.057	0.2405	392	0.0324	0.0439	0.4605
134	-0.0126	0.068	0.8532	258	0.0992	0.0518	0.0569	392	0.0581	0.0412	0.1587
