N	Effect	SE	P.value	N	Effect	SE	P.value	N	Effect	StdErr	P.value
146	0.4767	0.309	0.1255	312	0.1557	0.2296	0.4981	458	0.2699	0.1843	0.1431
146	0.1391	0.3271	0.6715	312	0.2531	0.2258	0.2634	458	0.2163	0.1858	0.2445
146	0.3429	0.3345	0.3079	312	0.3704	0.2251	0.1009	458	0.3619	0.1867	0.0526
146	0.6067	0.3259	0.0652	312	0.3532	0.2303	0.1263	458	0.4377	0.1881	0.02
146	4e-04	0.3456	0.9991	312	0.2457	0.2284	0.2829	458	0.1711	0.1905	0.3691
146	0.0963	0.3129	0.7588	312	0.0335	0.2216	0.8799	458	0.0545	0.1808	0.7632
146	0.1491	0.3114	0.6328	312	0.1684	0.2225	0.4497	458	0.1619	0.181	0.3711
146	-0.0444	0.3271	0.8924	312	0.3407	0.2344	0.1479	458	0.2101	0.1905	0.2702
146	0.0979	0.313	0.7549	312	-0.0524	0.2203	0.8123	458	-0.0026	0.1801	0.9886
146	0.344	0.3291	0.2981	312	-0.0459	0.2246	0.8384	458	0.078	0.1855	0.674
146	-0.2756	0.3063	0.37	311	-0.1857	0.222	0.4036	457	-0.2167	0.1798	0.2281
146	0.1144	0.314	0.7164	312	0.2937	0.2236	0.1901	458	0.2334	0.1822	0.2002
