Subjects	Age	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR
All	Older	1	amygdala	H2_gamma_dosage	0.328	253	0.096	0.132	0.468975725281974	0.577200892654737
All	Younger	1	amygdala	H2_gamma_dosage	0.337	284	-0.281	0.12	0.020365407185138	0.108617992062268
Cases	Older	1	amygdala	H2_gamma_dosage	0.367	194	0.258	0.153	0.0940356172280055	0.167174430627565
Cases	Younger	1	amygdala	H2_gamma_dosage	0.324	178	-0.347	0.146	0.0186577724659602	0.108617992062268
All	Older	2	amygdala	H2_gamma_dosage	0.326	211	0.191	0.148	0.197836409766204	0.379845906751112
All	Younger	2	amygdala	H2_gamma_dosage	0.326	245	-0.183	0.134	0.17248784554284	0.359974634176362
Cases	Older	2	amygdala	H2_gamma_dosage	0.365	172	0.263	0.164	0.111046180264904	0.332051215277782
Cases	Younger	2	amygdala	H2_gamma_dosage	0.33	163	-0.341	0.153	0.0276713224173686	0.189746210861956
All	Older	3	amygdala	H2_gamma_dosage*footyrs	0.326	211	-0.046	0.028	0.0977512297313226	0.521339891900387
All	Younger	3	amygdala	H2_gamma_dosage*footyrs	0.326	245	-0.021	0.029	0.473710513817198	0.704109438661351
Cases	Older	3	amygdala	H2_gamma_dosage*footyrs	0.365	172	-0.042	0.031	0.185573468357425	0.59383509874376
Cases	Younger	3	amygdala	H2_gamma_dosage*footyrs	0.33	163	0.015	0.034	0.653262551529453	0.76468266076498
All	NA	4	amygdala	H2_gamma_dosage*stratum	0.333	537	0.273	0.168	0.104185757122369	0.198123353745325
Cases	NA	4	amygdala	H2_gamma_dosage*stratum	0.346	372	0.386	0.199	0.0537107427105137	0.184151117864618
All	Older	1	CA1	H2_gamma_dosage	0.328	253	-0.006	0.134	0.962958381158098	0.983442600305641
All	Younger	1	CA1	H2_gamma_dosage	0.337	284	-0.221	0.121	0.0699928160120398	0.167174430627565
Cases	Older	1	CA1	H2_gamma_dosage	0.367	194	0.059	0.151	0.698141366685284	0.779320595369619
Cases	Younger	1	CA1	H2_gamma_dosage	0.324	178	-0.263	0.146	0.073818987416304	0.167174430627565
All	Older	2	CA1	H2_gamma_dosage	0.326	211	0.069	0.148	0.641556917954958	0.810387685837842
All	Younger	2	CA1	H2_gamma_dosage	0.326	245	-0.14	0.135	0.301852405771822	0.495867015127418
Cases	Older	2	CA1	H2_gamma_dosage	0.365	172	0.123	0.162	0.448655137559862	0.633395488319805
Cases	Younger	2	CA1	H2_gamma_dosage	0.33	163	-0.23	0.153	0.133929830016558	0.332051215277782
All	Older	3	CA1	H2_gamma_dosage*footyrs	0.326	211	-0.04	0.027	0.140058710366041	0.59383509874376
All	Younger	3	CA1	H2_gamma_dosage*footyrs	0.326	245	0.005	0.029	0.852717834972933	0.91826996889778
Cases	Older	3	CA1	H2_gamma_dosage*footyrs	0.365	172	-0.033	0.03	0.278522313817815	0.624939739855305
Cases	Younger	3	CA1	H2_gamma_dosage*footyrs	0.33	163	0.03	0.034	0.370250806330554	0.627458510811964
All	NA	4	CA1	H2_gamma_dosage*stratum	0.333	537	0.155	0.171	0.366759440886556	0.463275083225123
Cases	NA	4	CA1	H2_gamma_dosage*stratum	0.346	372	0.155	0.199	0.43731476407225	0.499788301796857
All	Older	1	CA2	H2_gamma_dosage	0.328	253	-0.008	0.126	0.950062074181208	0.983442600305641
All	Younger	1	CA2	H2_gamma_dosage	0.337	284	-0.314	0.13	0.0165751152738958	0.108617992062268
Cases	Older	1	CA2	H2_gamma_dosage	0.367	194	-0.003	0.14	0.983442600305641	0.983442600305641
Cases	Younger	1	CA2	H2_gamma_dosage	0.324	178	-0.368	0.154	0.0181473055407357	0.108617992062268
All	Older	2	CA2	H2_gamma_dosage	0.326	211	0.011	0.141	0.93556350049403	0.95546910688752
All	Younger	2	CA2	H2_gamma_dosage	0.326	245	-0.302	0.146	0.0400565678536171	0.213635028552625
Cases	Older	2	CA2	H2_gamma_dosage	0.365	172	-0.038	0.151	0.803469937489467	0.929801582411897
Cases	Younger	2	CA2	H2_gamma_dosage	0.33	163	-0.39	0.164	0.0186659602370527	0.189746210861956
All	Older	3	CA2	H2_gamma_dosage*footyrs	0.326	211	-0.018	0.026	0.484075239079679	0.704109438661351
All	Younger	3	CA2	H2_gamma_dosage*footyrs	0.326	245	0.042	0.037	0.255802042704802	0.624939739855305
Cases	Older	3	CA2	H2_gamma_dosage*footyrs	0.365	172	0.001	0.029	0.975093516101375	0.975093516101375
Cases	Younger	3	CA2	H2_gamma_dosage*footyrs	0.33	163	0.072	0.043	0.0955786443664171	0.521339891900387
All	NA	4	CA2	H2_gamma_dosage*stratum	0.333	537	0.161	0.169	0.340017253549404	0.453356338065872
Cases	NA	4	CA2	H2_gamma_dosage*stratum	0.346	372	0.157	0.193	0.416383991676191	0.499660790011429
All	Older	1	CA4	H2_gamma_dosage	0.328	253	0.008	0.126	0.946765073656026	0.983442600305641
All	Younger	1	CA4	H2_gamma_dosage	0.337	284	-0.408	0.13	0.00189203848881281	0.0433917104521058
Cases	Older	1	CA4	H2_gamma_dosage	0.367	194	-0.064	0.144	0.657306983748651	0.769530127315494
Cases	Younger	1	CA4	H2_gamma_dosage	0.324	178	-0.455	0.149	0.00271198190325661	0.0433917104521058
All	Older	2	CA4	H2_gamma_dosage	0.326	211	0.06	0.146	0.682107954526588	0.839517482494262
All	Younger	2	CA4	H2_gamma_dosage	0.326	245	-0.386	0.145	0.00817905703290167	0.130864912526427
Cases	Older	2	CA4	H2_gamma_dosage	0.365	172	-0.034	0.161	0.832947250910658	0.929801582411897
Cases	Younger	2	CA4	H2_gamma_dosage	0.33	163	-0.447	0.158	0.00535571445195071	0.128537146846817
All	Older	3	CA4	H2_gamma_dosage*footyrs	0.326	211	-0.061	0.027	0.0261223265109809	0.313467918131771
All	Younger	3	CA4	H2_gamma_dosage*footyrs	0.326	245	0.015	0.033	0.642850920740808	0.76468266076498
Cases	Older	3	CA4	H2_gamma_dosage*footyrs	0.365	172	-0.037	0.031	0.225589136815518	0.624939739855305
Cases	Younger	3	CA4	H2_gamma_dosage*footyrs	0.33	163	0.035	0.037	0.339918232360726	0.624939739855305
All	NA	4	CA4	H2_gamma_dosage*stratum	0.333	537	0.339	0.171	0.0473286377497018	0.184151117864618
Cases	NA	4	CA4	H2_gamma_dosage*stratum	0.346	372	0.316	0.198	0.111000866449996	0.198123353745325
All	Older	1	entorhinal	H2_gamma_dosage	0.328	253	0.161	0.139	0.249401625300374	0.353099507666197
All	Younger	1	entorhinal	H2_gamma_dosage	0.337	284	-0.241	0.12	0.0455100024352404	0.145632007792769
Cases	Older	1	entorhinal	H2_gamma_dosage	0.367	194	0.278	0.165	0.0935460468609797	0.167174430627565
Cases	Younger	1	entorhinal	H2_gamma_dosage	0.324	178	-0.299	0.148	0.0448922798571947	0.145632007792769
All	Older	2	entorhinal	H2_gamma_dosage	0.326	211	0.227	0.16	0.158595063164551	0.359974634176362
