Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	A1	A2
Euro	1	CTE	H1B1G1	0.384	146	-0.74	0.472	0.119418721406314	A	T
Euro	1	DementiaHx	H1B1G1	0.384	146	0.44	0.393	0.264863406394808	A	T
Euro	1	amygdala	H1B1G1	0.384	146	0.075	0.272	0.78173409701669	A	T
Euro	1	CA1	H1B1G1	0.384	146	-0.292	0.272	0.28536151978598	A	T
Euro	1	CA2	H1B1G1	0.384	146	-0.331	0.262	0.209619085021804	A	T
Euro	1	CA4	H1B1G1	0.384	146	-0.096	0.255	0.708685927270484	A	T
Euro	1	entorhinal	H1B1G1	0.384	146	-0.228	0.285	0.424961089865818	A	T
Euro	1	inforbfront	H1B1G1	0.384	146	-0.333	0.263	0.207859118790976	A	T
Euro	1	infpar	H1B1G1	0.384	146	-0.333	0.261	0.204208950268026	A	T
Euro	1	loccoer	H1B1G1	0.384	146	-0.209	0.268	0.436550607129994	A	T
Euro	1	midfront	H1B1G1	0.384	146	-0.182	0.261	0.488120101797778	A	T
Euro	1	suptemp	H1B1G1	0.384	146	-0.358	0.266	0.18103719037022	A	T
Euro	1	CTEstage	H1B1G1	0.384	146	-0.418	0.257	0.106590141842648	A	T
Euro	1	subnigra	H1B1G1	0.384	146	-0.66	0.264	0.0135039346141232	A	T
Euro	1	AT8PositiveTissue.log	H1B1G1	0.384	146	-0.038	0.275	0.89140542079483	A	T
