Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR	Perm_P
All	1	CTE	H1B1G3	0.046	445	-0.158	0.377	0.675807158411329	0.875152716401823	0.975
All	1	DementiaHx	H1B1G3	0.046	428	-0.726	0.414	0.0799185635272803	0.284154892541441	0.242
All	1	amygdala	H1B1G3	0.046	445	-0.057	0.315	0.857339774066682	0.999981319941542	0.998
All	1	CA1	H1B1G3	0.046	445	-0.456	0.307	0.137854977431889	0.475914869034489	0.54
All	1	CA2	H1B1G3	0.046	445	0.061	0.317	0.846875944893999	0.999981319941542	0.998
All	1	CA4	H1B1G3	0.046	445	-0.44	0.325	0.176457316377602	0.517608128040966	0.651
All	1	entorhinal	H1B1G3	0.046	445	-0.3	0.324	0.355390805406914	0.801907458354062	0.927
All	1	inforbfront	H1B1G3	0.046	445	-0.137	0.316	0.665171317637524	0.999981319941542	0.998
All	1	infpar	H1B1G3	0.046	445	-0.273	0.315	0.38751780915065	0.840099302660082	0.943
All	1	loccoer	H1B1G3	0.046	445	-0.159	0.327	0.627290097062799	0.974839167953283	0.998
All	1	midfront	H1B1G3	0.046	445	-0.219	0.311	0.481761046505966	0.906765835525929	0.98
All	1	suptemp	H1B1G3	0.046	445	0.074	0.309	0.811709713746158	0.999981319941542	0.998
All	1	CTEstage	H1B1G3	0.046	444	-0.343	0.306	0.26269991238468	0.494493952724104	0.616
All	1	subnigra	H1B1G3	0.046	445	0.252	0.312	0.420044865072834	0.880094003009747	0.964
All	1	AT8PositiveTissue.log	H1B1G3	0.046	445	-0.491	0.365	0.179906732850093	0.390757550421775	0.442
