Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR	Perm_P
All	1	CTE	H2A1G2	0.131	445	0.525	0.254	0.0394400044771992	0.16433663368827	0.121
All	1	DementiaHx	H2A1G2	0.13	428	-0.266	0.274	0.33219811649843	0.559491564628935	0.716
All	1	amygdala	H2A1G2	0.131	445	-0.387	0.194	0.0463081194106825	0.239712618125886	0.241
All	1	CA1	H2A1G2	0.131	445	-0.309	0.192	0.108228927353935	0.41409328726723	0.452
All	1	CA2	H2A1G2	0.131	445	-0.376	0.192	0.0507360153838403	0.248042741876553	0.261
All	1	CA4	H2A1G2	0.131	445	-0.572	0.193	0.0032729818904178	0.0737598945685796	0.026
All	1	entorhinal	H2A1G2	0.131	445	-0.222	0.198	0.264076439018685	0.713150611949126	0.808
All	1	inforbfront	H2A1G2	0.131	445	-0.008	0.188	0.96427231221586	0.999981319941542	1
All	1	infpar	H2A1G2	0.131	445	0.013	0.19	0.947272622965224	0.999981319941542	1
All	1	loccoer	H2A1G2	0.131	445	-0.315	0.187	0.0919668862529863	0.367867545011945	0.415
All	1	midfront	H2A1G2	0.131	445	0.073	0.189	0.699085415699386	0.999981319941542	1
All	1	suptemp	H2A1G2	0.131	445	-0.034	0.197	0.862328867527223	0.999981319941542	1
All	1	CTEstage	H2A1G2	0.132	444	0.292	0.183	0.111710420489537	0.324547630983331	0.301
All	1	subnigra	H2A1G2	0.131	445	-0.434	0.187	0.0208016460592297	0.141195077628144	0.115
All	1	AT8PositiveTissue.log	H2A1G2	0.131	445	0.165	0.219	0.452037424777147	0.688818932993748	0.843
