Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR	Perm_P
All	1	CTE	H1B1G2	0.107	445	-0.065	0.243	0.789926161285617	0.919424937467239	0.995
All	1	DementiaHx	H1B1G2	0.104	428	0.003	0.295	0.990958500899745	0.990958500899745	1
All	1	amygdala	H1B1G2	0.107	445	-0.135	0.207	0.513445287485022	0.90932550111932	0.991
All	1	CA1	H1B1G2	0.107	445	-0.056	0.2	0.778157904890194	0.999981319941542	1
All	1	CA2	H1B1G2	0.107	445	-0.053	0.203	0.795991008857267	0.999981319941542	1
All	1	CA4	H1B1G2	0.107	445	0.173	0.202	0.39140990237572	0.840099302660082	0.943
All	1	entorhinal	H1B1G2	0.107	445	-0.13	0.208	0.530464194876993	0.90932550111932	0.995
All	1	inforbfront	H1B1G2	0.107	445	-0.001	0.207	0.997755081595564	0.999981319941542	1
All	1	infpar	H1B1G2	0.107	445	-0.062	0.203	0.758805041596025	0.999981319941542	1
All	1	loccoer	H1B1G2	0.107	445	0.125	0.208	0.547661949537772	0.90932550111932	0.996
All	1	midfront	H1B1G2	0.107	445	-0.096	0.2	0.631429915606104	0.974839167953283	1
All	1	suptemp	H1B1G2	0.107	445	-0.212	0.204	0.298846221509017	0.751384785508386	0.851
All	1	CTEstage	H1B1G2	0.106	444	-0.202	0.203	0.320328336406375	0.559491564628935	0.68
All	1	subnigra	H1B1G2	0.107	445	0	0.202	0.999981319941542	0.999981319941542	1
All	1	AT8PositiveTissue.log	H1B1G2	0.107	445	-0.079	0.24	0.741360261439793	0.91244339869513	0.989
