Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR	Perm_P
All	1	CTE	H1B2G1	0.284	445	-0.407	0.174	0.0194535195416412	0.15562815633313	0.056
All	1	DementiaHx	H1B2G1	0.283	428	-0.261	0.202	0.196088144396557	0.392176288793114	0.481
All	1	amygdala	H1B2G1	0.284	445	-0.144	0.143	0.314994618138446	0.769986844338424	0.879
All	1	CA1	H1B2G1	0.284	445	0.04	0.141	0.778917273131959	0.999981319941542	1
All	1	CA2	H1B2G1	0.284	445	-0.033	0.146	0.8239347853455	0.999981319941542	1
All	1	CA4	H1B2G1	0.284	445	0.044	0.144	0.758306548844323	0.999981319941542	1
All	1	entorhinal	H1B2G1	0.284	445	-0.165	0.149	0.269433515224264	0.713150611949126	0.821
All	1	inforbfront	H1B2G1	0.284	445	-0.334	0.144	0.0208583637405213	0.141195077628144	0.109
All	1	infpar	H1B2G1	0.284	445	-0.256	0.145	0.0789548913776192	0.330858592439547	0.359
All	1	loccoer	H1B2G1	0.284	445	0.107	0.153	0.484295389428621	0.906765835525929	0.984
All	1	midfront	H1B2G1	0.284	445	-0.272	0.142	0.0552584555491329	0.255933899385458	0.263
All	1	suptemp	H1B2G1	0.284	445	-0.396	0.145	0.00670544496077996	0.0737598945685796	0.04
All	1	CTEstage	H1B2G1	0.285	444	-0.289	0.141	0.0410841584220676	0.16433663368827	0.119
All	1	subnigra	H1B2G1	0.284	445	-0.199	0.144	0.166335389876566	0.50474187272889	0.615
All	1	AT8PositiveTissue.log	H1B2G1	0.284	445	-0.357	0.164	0.0303456211481645	0.161843312790211	0.094
