Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR	Perm_P
All	1	CTE	H1B1G4	0.001	445	-14.221	535.412	0.978822985094174	0.990958500899745	1
All	1	DementiaHx	H1B1G4	0.001	428	-16.562	882.744	0.98504040939311	0.990958500899745	1
All	1	amygdala	H1B1G4	0.001	445	-12.767	0.069	0.970749546681061	0.999981319941542	0.986
All	1	CA1	H1B1G4	0.001	445	-13.036	0.041	0.946053502391639	0.999981319941542	0.975
All	1	CA2	H1B1G4	0.001	445	-11.335	0.214	0.991917658029777	0.999981319941542	0.992
All	1	CA4	H1B1G4	0.001	445	-12.432	0.079	0.906667538544924	0.999981319941542	0.969
All	1	entorhinal	H1B1G4	0.001	445	0.223	1.821	0.902467493454277	0.999981319941542	0.968
All	1	inforbfront	H1B1G4	0.001	445	-12.383	0.013	0.480943021074921	0.906765835525929	0.781
All	1	infpar	H1B1G4	0.001	445	-12.727	0.239	0.991912404417987	0.999981319941542	0.992
All	1	loccoer	H1B1G4	0.001	445	-0.4	1.761	0.820475463700411	0.999981319941542	0.956
All	1	midfront	H1B1G4	0.001	445	-14.055	0.02	0.852449167572	0.999981319941542	0.963
All	1	suptemp	H1B1G4	0.001	445	-13.732	0.084	0.990797137067486	0.999981319941542	0.99
All	1	CTEstage	H1B1G4	0.001	444	-13.275	0	0	0	0
All	1	subnigra	H1B1G4	0.001	445	-11.32	0.023	0.62246977684473	0.974839167953283	0.9
All	1	AT8PositiveTissue.log	H1B1G4	0.001	445	-3.231	2.423	0.183167601760207	0.390757550421775	0.600649350649351
