Stratum	Phenotype	Predictor	N	Effect	SE	P.value	FDR
0	amygdala	H1_dosage	200	0.455539119089463	0.293799066943067	0.122770313757317	0.456826981205551
1	amygdala	H1_dosage	192	-0.388201190739782	0.312486018167817	0.215864768888484	0.518075445332362
0	CA1	H1_dosage	200	0.396425224799938	0.292809383228944	0.177474936855911	0.518075445332362
1	CA1	H1_dosage	192	-0.0882379302822008	0.310232036696005	0.776474141536602	0.841604671289705
0	CA2	H1_dosage	200	0.725176638248464	0.317337314125174	0.0237839322403413	0.19027145792273
1	CA2	H1_dosage	192	-0.0139595754134167	0.298811821976933	0.96279868459173	0.96279868459173
0	CA4	H1_dosage	200	0.955157557994888	0.314921368342987	0.00278383798728088	0.0580148654888362
1	CA4	H1_dosage	192	-0.148090410576698	0.306215018408842	0.62931084726169	0.839081129682253
0	entorhinal	H1_dosage	200	0.529258489146639	0.291053857585019	0.0706881318593653	0.339303032924953
1	entorhinal	H1_dosage	192	-0.367471839347212	0.333163225025693	0.271652467952381	0.581694036834932
0	inforbfront	H1_dosage	200	0.0681601177608418	0.275032082115362	0.804552028712382	0.841604671289705
1	inforbfront	H1_dosage	192	-0.458895567141765	0.304113138816186	0.133241202851619	0.456826981205551
0	infpar	H1_dosage	200	0.266309786263834	0.280022010830055	0.342856594169649	0.632966020005506
1	infpar	H1_dosage	192	-0.264294679690588	0.295604392529095	0.372686263494778	0.638890737419619
0	loccoer	H1_dosage	200	0.109594370991169	0.284066029510859	0.700269648444928	0.841604671289705
1	loccoer	H1_dosage	192	0.0835530926229243	0.337567071239698	0.805205972409027	0.841604671289705
0	midfront	H1_dosage	200	-0.0657923713875598	0.268264638602169	0.806537809985967	0.841604671289705
1	midfront	H1_dosage	192	-0.393179944781631	0.314894374567005	0.213583907397177	0.518075445332362
0	suptemp	H1_dosage	200	0.291035999215702	0.274729972386245	0.290847018417466	0.581694036834932
1	suptemp	H1_dosage	192	-0.59045945406022	0.323212016766374	0.0695329665399584	0.339303032924953
0	CTEstage	H1_dosage	200	0.133353691605147	0.258902115108309	0.607129873221277	0.839081129682253
1	CTEstage	H1_dosage	192	-0.952811352934847	0.333769701872125	0.00483457212406968	0.0580148654888362
0	subnigra	H1_dosage	200	0.205775717059585	0.28407892338524	0.469783649698492	0.751653839517587
1	subnigra	H1_dosage	192	-0.186838260300397	0.305191342566824	0.541375342027735	0.812063013041602
