Stratum	Phenotype	Predictor	N	Effect	SE	P.value	FDR
0	amygdala	H1_dosage	232	0.54955717782842	0.261414683915217	0.0367047464996593	0.247949454537458
1	amygdala	H1_dosage	226	-0.228030412329784	0.27865850895689	0.414139451972463	0.545976450224334
0	CA1	H1_dosage	232	0.431053854940021	0.258737295314514	0.097186826222647	0.286653529275692
1	CA1	H1_dosage	226	-0.00149090124098167	0.280490343006857	0.995765053263253	0.999293195489683
0	CA2	H1_dosage	232	0.570435456236489	0.27744263189325	0.0413249090895764	0.247949454537458
1	CA2	H1_dosage	226	-0.000237411306806607	0.267644843405379	0.999293195489683	0.999293195489683
0	CA4	H1_dosage	232	0.852917301751847	0.274805821848259	0.00217475932081301	0.0428874352574003
1	CA4	H1_dosage	226	-0.106340327878172	0.266489575340387	0.690290046813216	0.753043687432599
0	entorhinal	H1_dosage	232	0.453936988895374	0.257211015903247	0.0790380700174422	0.286653529275692
1	entorhinal	H1_dosage	226	-0.257241205612554	0.290415531940019	0.376805640428848	0.531960904134844
0	inforbfront	H1_dosage	232	0.221589947936436	0.24987554151035	0.376185818598474	0.531960904134844
1	inforbfront	H1_dosage	226	-0.421882332381584	0.271660846082449	0.122062644147335	0.286653529275692
0	infpar	H1_dosage	232	0.388915966758577	0.257154327249601	0.13190811164292	0.286653529275692
1	infpar	H1_dosage	226	-0.325335473050341	0.263498043404474	0.21848705750163	0.403360721541471
0	loccoer	H1_dosage	232	0.254962240362006	0.264451970142759	0.336675134687774	0.531960904134844
1	loccoer	H1_dosage	226	0.269275775686006	0.293860400864986	0.361752448631481	0.531960904134844
0	midfront	H1_dosage	232	0.128603231601175	0.244657563240787	0.599675995410763	0.700100420327471
1	midfront	H1_dosage	226	-0.405424474799883	0.275915522106841	0.143326764637846	0.286653529275692
0	suptemp	H1_dosage	232	0.408967464884313	0.249961943272101	0.10328098505752	0.286653529275692
1	suptemp	H1_dosage	226	-0.483197481754365	0.287658858364364	0.0945760866910212	0.286653529275692
0	CTEstage	H1_dosage	231	0.185847672926667	0.236185371615635	0.432231356427598	0.545976450224334
1	CTEstage	H1_dosage	226	-0.835152277377447	0.283382542052403	0.00357395293811669	0.0428874352574003
0	subnigra	H1_dosage	232	0.417125467409159	0.263322314434852	0.114655508111992	0.286653529275692
1	subnigra	H1_dosage	226	-0.135754884075794	0.267629740262257	0.612587867786537	0.700100420327471
