Stratum	Phenotype	Predictor	N	Effect	SE	P.value	FDR
0	amygdala	H1_dosage	140	0.680270076140008	0.32357481188327	0.0375832757594348	0.174556834454688
1	amygdala	H1_dosage	173	-0.609068743305727	0.327024706624625	0.0644865249713331	0.174556834454688
0	CA1	H1_dosage	140	0.483046552800172	0.311257761117654	0.123268742901976	0.211317844974816
1	CA1	H1_dosage	173	-0.185736860335941	0.322982075045291	0.566213949293996	0.679456739152795
0	CA2	H1_dosage	140	0.807737897299752	0.33023522673503	0.0160953085895152	0.128762468716122
1	CA2	H1_dosage	173	-0.0825048996432183	0.300720889411442	0.784194067071899	0.855484436805708
0	CA4	H1_dosage	140	0.97508177582486	0.318135514236597	0.00268294476815711	0.0643906744357706
1	CA4	H1_dosage	173	-0.0122775191338063	0.30862960520345	0.968320382876532	0.968320382876532
0	entorhinal	H1_dosage	140	0.552814470394166	0.320674028814331	0.0872784172273438	0.174556834454688
1	entorhinal	H1_dosage	173	-0.550542931390511	0.351423214834166	0.119349861360867	0.211317844974816
0	inforbfront	H1_dosage	140	0.173764730474846	0.297456510668658	0.560186525938908	0.679456739152795
1	inforbfront	H1_dosage	173	-0.57408705510996	0.319433330093128	0.0744120338330971	0.174556834454688
0	infpar	H1_dosage	140	0.278194987642	0.304767024263389	0.363130411598442	0.484173882131256
1	infpar	H1_dosage	173	-0.383661943027666	0.300479943284402	0.203774669188504	0.326039470701606
0	loccoer	H1_dosage	140	0.371640122647358	0.34783746666271	0.288813453368475	0.407736640049612
1	loccoer	H1_dosage	173	0.0995541110347992	0.336416374401833	0.7680676240152	0.855484436805708
0	midfront	H1_dosage	140	0.36242955080341	0.302027799079952	0.232449800448891	0.348674700673337
1	midfront	H1_dosage	173	-0.639840450849157	0.327625304701481	0.0527406173949005	0.174556834454688
0	suptemp	H1_dosage	140	0.55833832039171	0.306895297080194	0.0712985871114769	0.174556834454688
1	suptemp	H1_dosage	173	-0.870450077393969	0.333804587411716	0.0100612447182447	0.120734936618936
0	CTEstage	H1_dosage	139	0.545288148569236	0.307374066570313	0.0785741433006422	0.174556834454688
1	CTEstage	H1_dosage	173	-0.699569404326068	0.330061900664343	0.0356402485042402	0.174556834454688
0	subnigra	H1_dosage	140	0.559315777623799	0.318597164451378	0.0816725290362497	0.174556834454688
1	subnigra	H1_dosage	173	-0.0259238842725668	0.307284598516757	0.932890380247897	0.968320382876532
