Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR	Perm_P
All	1	CTE	H1_beta_dosage	1.141	458	-0.256	0.129	0.0468649278355122	0.476893906418608	0.14
All	1	DementiaHx	H1_beta_dosage	1.14	440	0.001	0.147	0.993460458559539	0.993893931584532	1
All	1	amygdala	H1_beta_dosage	1.141	458	-0.031	0.103	0.765790893006711	0.909586620174559	1
All	1	CA1	H1_beta_dosage	1.141	458	0.057	0.101	0.571862304059291	0.856170418424445	1
All	1	CA2	H1_beta_dosage	1.141	458	0.082	0.104	0.432995965968322	0.768218649298636	0.971
All	1	CA4	H1_beta_dosage	1.141	458	0.121	0.103	0.241337371948355	0.702797934063826	0.78
All	1	entorhinal	H1_beta_dosage	1.141	458	-0.078	0.106	0.46199130333239	0.794047552602545	0.987
All	1	inforbfront	H1_beta_dosage	1.141	458	-0.18	0.103	0.0794515005612513	0.546229066358603	0.363
All	1	infpar	H1_beta_dosage	1.141	458	-0.099	0.101	0.329970477471214	0.702797934063826	0.901
All	1	loccoer	H1_beta_dosage	1.141	458	0.06	0.109	0.581794869427521	0.856170418424445	1
All	1	midfront	H1_beta_dosage	1.141	458	-0.178	0.101	0.0786865764002114	0.546229066358603	0.357
All	1	suptemp	H1_beta_dosage	1.141	458	-0.099	0.104	0.34500989490406	0.702797934063826	0.92
All	1	CTEstage	H1_beta_dosage	1.141	457	-0.157	0.1	0.117307343039507	0.476893906418608	0.316
All	1	subnigra	H1_beta_dosage	1.141	458	-0.023	0.102	0.820951441441817	0.940673526652082	1
All	1	AT8PositiveTissue.log	H1_beta_dosage	1.141	458	-0.187	0.119	0.11751935507122	0.476893906418608	0.319
