Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR	Perm_P
All	1	CTE	H1B3G1	0.006	447	-0.61	1.062	0.566245983098854	0.739282966227681	0.921
All	1	DementiaHx	H1B3G1	0.006	430	-1.533	1.072	0.153383094979719	0.377558387642385	0.309
All	1	amygdala	H1B3G1	0.006	447	-1.184	0.807	0.143212185156147	0.434574906680722	0.544
All	1	CA1	H1B3G1	0.006	447	-1.183	0.841	0.160118164721083	0.46967994984851	0.594
All	1	CA2	H1B3G1	0.006	447	-0.507	0.828	0.540558152830896	0.897530517907903	0.99
All	1	CA4	H1B3G1	0.006	447	-1.518	0.989	0.125479253810208	0.424699012896089	0.48
All	1	entorhinal	H1B3G1	0.006	447	-0.929	0.804	0.24840023474429	0.662400625984773	0.787
All	1	inforbfront	H1B3G1	0.006	447	-1.884	0.919	0.0409552172676935	0.212686783126943	0.158
All	1	infpar	H1B3G1	0.006	447	-1.381	0.939	0.142198751177761	0.434574906680722	0.538
All	1	loccoer	H1B3G1	0.006	447	-2.246	0.957	0.0193224909466367	0.139211551840933	0.057
All	1	midfront	H1B3G1	0.006	447	-2.292	0.904	0.0115767462805896	0.101875367269188	0.032
All	1	suptemp	H1B3G1	0.006	447	0.147	0.832	0.859811040624111	0.998422771522282	1
All	1	CTEstage	H1B3G1	0.006	446	-0.03	0.856	0.971837514541953	0.985033879849898	1
All	1	subnigra	H1B3G1	0.006	447	-0.791	0.853	0.354151246334651	0.779132741936232	0.911
All	1	AT8PositiveTissue.log	H1B3G1	0.006	447	-1.471	1.008	0.145701258829615	0.377558387642385	0.292
