Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR	Perm_P
All	1	CTE	H1B1G2	0.106	447	-0.067	0.243	0.781548413561101	0.893198186926973	0.993
All	1	DementiaHx	H1B1G2	0.103	430	0.022	0.295	0.940879464934585	0.985033879849898	1
All	1	amygdala	H1B1G2	0.106	447	-0.136	0.207	0.513478383646692	0.897530517907903	0.991
All	1	CA1	H1B1G2	0.106	447	-0.051	0.199	0.797425543435159	0.998422771522282	1
All	1	CA2	H1B1G2	0.106	447	-0.032	0.207	0.878233469707998	0.998422771522282	1
All	1	CA4	H1B1G2	0.106	447	0.181	0.202	0.370752495389718	0.788197525596345	0.934
All	1	entorhinal	H1B1G2	0.106	447	-0.132	0.207	0.524573339167721	0.897530517907903	0.993
All	1	inforbfront	H1B1G2	0.106	447	-0.005	0.206	0.979004394660674	0.998422771522282	1
All	1	infpar	H1B1G2	0.106	447	-0.058	0.203	0.775344617405534	0.998422771522282	1
All	1	loccoer	H1B1G2	0.106	447	0.092	0.203	0.65271328065834	0.954846583747462	0.999
All	1	midfront	H1B1G2	0.106	447	-0.097	0.2	0.627373919564127	0.951877671062813	0.999
All	1	suptemp	H1B1G2	0.106	447	-0.195	0.203	0.338041882058558	0.762761169773157	0.91
All	1	CTEstage	H1B1G2	0.105	446	-0.203	0.203	0.317337498578881	0.564155553029122	0.717
All	1	subnigra	H1B1G2	0.106	447	0.014	0.202	0.945097991716784	0.998422771522282	1
All	1	AT8PositiveTissue.log	H1B1G2	0.106	447	-0.088	0.24	0.714133449849553	0.846380385006878	0.985
