Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR	Perm_P
All	1	CTE	H1B1G1	0.387	447	0.272	0.169	0.108270187954521	0.316197875815686	0.299
All	1	DementiaHx	H1B1G1	0.392	430	0.643	0.208	0.00211961315097797	0.0339138104156475	0.007
All	1	amygdala	H1B1G1	0.387	447	0.416	0.14	0.00315263793807397	0.0715018621471201	0.02
All	1	CA1	H1B1G1	0.387	447	0.246	0.137	0.0735465923893812	0.308195244298359	0.323
All	1	CA2	H1B1G1	0.387	447	0.283	0.138	0.0410872194677048	0.212686783126943	0.199
All	1	CA4	H1B1G1	0.387	447	0.303	0.137	0.0273573917863807	0.171960748371536	0.15
All	1	entorhinal	H1B1G1	0.387	447	0.407	0.144	0.00487512696457637	0.0715018621471201	0.028
All	1	inforbfront	H1B1G1	0.387	447	0.371	0.137	0.00695050957906829	0.0751605709381541	0.039
All	1	infpar	H1B1G1	0.387	447	0.403	0.139	0.00398721697542914	0.0715018621471201	0.025
All	1	loccoer	H1B1G1	0.387	447	0.104	0.139	0.453332626818569	0.867245025218132	0.987
All	1	midfront	H1B1G1	0.387	447	0.383	0.138	0.00583114042515342	0.0733057653447858	0.031
All	1	suptemp	H1B1G1	0.387	447	0.505	0.141	0.000368079075135253	0.0161954793059511	0.003
All	1	CTEstage	H1B1G1	0.387	446	0.302	0.136	0.0268354648300655	0.171746974912419	0.075
All	1	subnigra	H1B1G1	0.387	447	0.313	0.134	0.0200611665733494	0.139211551840933	0.109
All	1	AT8PositiveTissue.log	H1B1G1	0.387	447	0.445	0.156	0.0045467951762419	0.0484991485465803	0.015
