Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR	Perm_P
All	1	CTE	H2A2G2	0.04	447	-0.277	0.39	0.478162213616492	0.695508674351261	0.873
All	1	DementiaHx	H2A2G2	0.042	430	-0.266	0.434	0.540053754012815	0.739282966227681	0.907
All	1	amygdala	H2A2G2	0.04	447	0.171	0.331	0.604736114642701	0.950299608724244	0.998
All	1	CA1	H2A2G2	0.04	447	0.119	0.317	0.707267694483647	0.972493079915015	1
All	1	CA2	H2A2G2	0.04	447	-0.325	0.332	0.327611673212425	0.762761169773157	0.894
All	1	CA4	H2A2G2	0.04	447	-0.191	0.325	0.557713944191607	0.900624929197415	0.997
All	1	entorhinal	H2A2G2	0.04	447	-0.113	0.335	0.734934973580938	0.986689301660913	1
All	1	inforbfront	H2A2G2	0.04	447	0.013	0.314	0.967928538545038	0.998422771522282	1
All	1	infpar	H2A2G2	0.04	447	-0.33	0.314	0.294785610411797	0.741175249035375	0.855
All	1	loccoer	H2A2G2	0.04	447	0.135	0.325	0.678836397807217	0.954846583747462	1
All	1	midfront	H2A2G2	0.04	447	-0.127	0.311	0.683583349728297	0.954846583747462	1
All	1	suptemp	H2A2G2	0.04	447	-0.282	0.318	0.376185182670983	0.788197525596345	0.94
All	1	CTEstage	H2A2G2	0.04	446	-0.183	0.328	0.577564817365376	0.739282966227681	0.929
All	1	subnigra	H2A2G2	0.04	447	0.234	0.331	0.479579810199068	0.897530517907903	0.984
All	1	AT8PositiveTissue.log	H2A2G2	0.04	447	-0.304	0.396	0.443806197748397	0.6762761108547	0.845
