Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR	Perm_P
All	1	CTE	H1_dosage	0.816	458	-0.332	0.235	0.157524733260751	0.476893906418608	0.429
All	1	DementiaHx	H1_dosage	0.816	440	0.259	0.256	0.312524829597247	0.476893906418608	0.688
All	1	amygdala	H1_dosage	0.816	458	0.252	0.182	0.166838590826139	0.581643469928931	0.633
All	1	CA1	H1_dosage	0.816	458	0.25	0.181	0.168512129750173	0.581643469928931	0.634
All	1	CA2	H1_dosage	0.816	458	0.388	0.185	0.0370841186004522	0.435250814282821	0.194
All	1	CA4	H1_dosage	0.816	458	0.463	0.181	0.0108983290366123	0.335204668706449	0.063
All	1	entorhinal	H1_dosage	0.816	458	0.176	0.185	0.339717840501777	0.702797934063826	0.908
All	1	inforbfront	H1_dosage	0.816	458	-0.01	0.177	0.956997766563556	0.974719947425844	1
All	1	infpar	H1_dosage	0.816	458	0.094	0.176	0.591535925456889	0.856170418424445	0.998
All	1	loccoer	H1_dosage	0.816	458	0.189	0.187	0.312485105188478	0.702797934063826	0.88
All	1	midfront	H1_dosage	0.816	458	-0.05	0.176	0.777283111785532	0.909586620174559	1
All	1	suptemp	H1_dosage	0.816	458	0.067	0.182	0.713313894602618	0.909586620174559	1
All	1	CTEstage	H1_dosage	0.815	457	-0.209	0.173	0.228370003356505	0.476893906418608	0.568
All	1	subnigra	H1_dosage	0.816	458	0.257	0.179	0.150905804962374	0.581643469928931	0.579
All	1	AT8PositiveTissue.log	H1_dosage	0.816	458	-0.065	0.21	0.758467503153905	0.842741670171006	0.993
