Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR	Perm_P
All	1	CTE	H1B1G4	0.001	447	-14.149	535.412	0.978929821784262	0.985033879849898	0.998944033790919
All	1	DementiaHx	H1B1G4	0.001	430	-16.569	882.744	0.985033879849898	0.985033879849898	1
All	1	amygdala	H1B1G4	0.001	447	-12.76	0.039	0.909520177443264	0.998422771522282	1
All	1	CA1	H1B1G4	0.001	447	-13.037	0.065	0.98004222069082	0.998422771522282	1
All	1	CA2	H1B1G4	0.001	447	-11.361	0.221	0.991947137770873	0.998422771522282	1
All	1	CA4	H1B1G4	0.001	447	-12.527	0.07	0.890112551172621	0.998422771522282	1
All	1	entorhinal	H1B1G4	0.001	447	0.206	1.821	0.910163021646662	0.998422771522282	1
All	1	inforbfront	H1B1G4	0.001	447	-12.4	0.007	0.105280904640188	0.38895111000339	0.616
All	1	infpar	H1B1G4	0.001	447	-12.857	0.141	0.99138052807767	0.998422771522282	1
All	1	loccoer	H1B1G4	0.001	447	-0.441	1.748	0.800770772148481	0.998422771522282	1
All	1	midfront	H1B1G4	0.001	447	-14.001	0	0	0	0
All	1	suptemp	H1B1G4	0.001	447	-13.763	0.088	0.990845503558827	0.998422771522282	1
All	1	CTEstage	H1B1G4	0.001	446	-13.19	0	0	0	0
All	1	subnigra	H1B1G4	0.001	447	-11.319	0.02	0.540488286477412	0.897530517907903	0.961
All	1	AT8PositiveTissue.log	H1B1G4	0.001	447	-3.28	2.417	0.175527267377072	0.401205182576165	0.604012671594509
