Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR	Perm_P
All	1	CTE	H1B1G3	0.046	447	-0.15	0.376	0.690000030268046	0.846380385006878	0.982
All	1	DementiaHx	H1B1G3	0.045	430	-0.698	0.413	0.0915586123937104	0.316197875815686	0.252
All	1	amygdala	H1B1G3	0.046	447	-0.053	0.322	0.869076697294568	0.998422771522282	1
All	1	CA1	H1B1G3	0.046	447	-0.494	0.312	0.114796995711833	0.404085424905652	0.493
All	1	CA2	H1B1G3	0.046	447	-0.012	0.32	0.969703389792613	0.998422771522282	1
All	1	CA4	H1B1G3	0.046	447	-0.44	0.324	0.175073006249439	0.496981437095182	0.646
All	1	entorhinal	H1B1G3	0.046	447	-0.276	0.327	0.399444714455097	0.817468252838338	0.95
All	1	inforbfront	H1B1G3	0.046	447	-0.134	0.316	0.672438734144888	0.954846583747462	0.999
All	1	infpar	H1B1G3	0.046	447	-0.255	0.315	0.4188946008208	0.820831821035614	0.961
All	1	loccoer	H1B1G3	0.046	447	-0.194	0.334	0.562890580748384	0.900624929197415	0.992
All	1	midfront	H1B1G3	0.046	447	-0.209	0.311	0.501972372712959	0.897530517907903	0.986
All	1	suptemp	H1B1G3	0.046	447	0.058	0.31	0.851323823233477	0.998422771522282	1
All	1	CTEstage	H1B1G3	0.046	446	-0.359	0.306	0.241305477791828	0.454222075843441	0.557
All	1	subnigra	H1B1G3	0.046	447	0.25	0.31	0.419743544847757	0.820831821035614	0.961
All	1	AT8PositiveTissue.log	H1B1G3	0.046	447	-0.455	0.364	0.212257341685166	0.452815662261687	0.515
