Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR	Perm_P
All	1	CTE	H1_gamma_dosage	1.053	458	-0.112	0.12	0.352106891611137	0.476893906418608	0.75
All	1	DementiaHx	H1_gamma_dosage	1.053	440	-0.103	0.137	0.453726248733567	0.567157810916959	0.852
All	1	amygdala	H1_gamma_dosage	1.053	458	0.061	0.099	0.535428773979814	0.856170418424445	0.995
All	1	CA1	H1_gamma_dosage	1.053	458	-0.037	0.097	0.700230606723885	0.909586620174559	1
All	1	CA2	H1_gamma_dosage	1.053	458	0.159	0.1	0.112541819376125	0.581643469928931	0.471
All	1	CA4	H1_gamma_dosage	1.053	458	0.138	0.099	0.164712341857004	0.581643469928931	0.609
All	1	entorhinal	H1_gamma_dosage	1.053	458	-0.011	0.101	0.915934583230066	0.972225135944605	1
All	1	inforbfront	H1_gamma_dosage	1.053	458	-0.011	0.098	0.91192464710167	0.972225135944605	1
All	1	infpar	H1_gamma_dosage	1.053	458	-0.028	0.097	0.768614074930153	0.909586620174559	1
All	1	loccoer	H1_gamma_dosage	1.053	458	0.068	0.102	0.505819306030574	0.843032176717623	0.992
All	1	midfront	H1_gamma_dosage	1.053	458	-0.088	0.096	0.360446992703647	0.708020878525021	0.926
All	1	suptemp	H1_gamma_dosage	1.053	458	-0.008	0.097	0.937107402091451	0.9724699455666	1
All	1	CTEstage	H1_gamma_dosage	1.052	457	-0.143	0.094	0.126017864029234	0.476893906418608	0.353
All	1	subnigra	H1_gamma_dosage	1.053	458	0.131	0.097	0.17820164790829	0.581643469928931	0.639
All	1	AT8PositiveTissue.log	H1_gamma_dosage	1.053	458	-0.103	0.112	0.357670429813956	0.476893906418608	0.761
