Subjects	Model	Phenotype	Predictor	Freq	N	Effect	SE	P.value	FDR	Perm_P
All	1	CTE	H2_gamma_dosage	0.366	458	0.169	0.118	0.153797805621941	0.476893906418608	0.42
All	1	DementiaHx	H2_gamma_dosage	0.365	440	-0.125	0.129	0.330958095232918	0.476893906418608	0.713
All	1	amygdala	H2_gamma_dosage	0.366	458	-0.124	0.091	0.17421314953983	0.581643469928931	0.65
All	1	CA1	H2_gamma_dosage	0.366	458	-0.122	0.091	0.179780708887124	0.581643469928931	0.664
All	1	CA2	H2_gamma_dosage	0.366	458	-0.192	0.093	0.0395682558438928	0.435250814282821	0.2
All	1	CA4	H2_gamma_dosage	0.366	458	-0.229	0.091	0.0121892606802345	0.335204668706449	0.068
All	1	entorhinal	H2_gamma_dosage	0.366	458	-0.089	0.093	0.339717357437978	0.702797934063826	0.91
All	1	inforbfront	H2_gamma_dosage	0.366	458	0.009	0.089	0.91919467398399	0.972225135944605	1
All	1	infpar	H2_gamma_dosage	0.366	458	-0.049	0.088	0.5804074664314	0.856170418424445	0.994
All	1	loccoer	H2_gamma_dosage	0.366	458	-0.091	0.094	0.334228271179201	0.702797934063826	0.906
All	1	midfront	H2_gamma_dosage	0.366	458	0.025	0.088	0.773522253730208	0.909586620174559	1
All	1	suptemp	H2_gamma_dosage	0.366	458	-0.031	0.091	0.737465664838182	0.909586620174559	1
All	1	CTEstage	H2_gamma_dosage	0.367	457	0.106	0.087	0.224069435562117	0.476893906418608	0.556
All	1	subnigra	H2_gamma_dosage	0.366	458	-0.129	0.09	0.153051162290534	0.581643469928931	0.585
All	1	AT8PositiveTissue.log	H2_gamma_dosage	0.366	458	0.037	0.105	0.7288668335677	0.842741670171006	0.99
